Gyroscope Z
-1.708984
-1.525879
-1.342774
-1.159668
1.403809
6.530762
8.728028
3.173828
0.488281
-0.366211
-0.549316
-0.549316
-0.549316
-0.549316
-0.549316
-0.671387
-0.915527
-1.037598
-1.037598
-0.793457
-0.732422
-0.732422
-0.610352
-0.610352
-0.488281
-0.305176
-0.305176
-0.366211
-0.366211
-0.671387
-0.976563
-1.281738
-1.647949
-1.77002
-1.708984
-1.586914
-1.342774
-1.098633
-1.159668
-1.220703
-1.281738
-1.464844
-1.647949
-1.77002
-1.953125
-2.258301
-2.258301
-2.136231
-2.075195
-1.831055
-1.831055
-1.647949
-1.464844
-1.281738
-1.281738
-1.403809
-1.525879
-1.525879
-1.525879
-1.586914
-1.77002
-1.831055
-1.89209
-2.075195
-2.197266
-2.258301
-2.258301
-2.441406
-2.258301
-2.01416
-1.708984
-1.525879
-1.342774
-1.159668
1.403809
6.530762
8.728028
3.173828
0.488281
-0.366211
-1.098633
-1.647949
-1.89209
-1.89209
-1.89209
-1.953125
-2.136231
-6.958008
-8.666993
-10.986329
-13.854981
-16.235353
-15.075685
-12.878419
-9.094239
-6.713868
-4.272461
-2.441406
0.610352
-5.737305
-4.211426
-4.638672
-7.8125
-9.70459
-6.774903
-4.638672
-2.502442
-3.356934
-2.441406
-2.990723
-1.159668
-1.647949
1.77002
-0.732422
-11.59668
-10.864258
-1.159668
-2.441406
-2.929688
-2.990723
-0.732422
-1.708984
-1.220703
-2.624512
-2.319336
0.12207
0.366211
0.366211
0.244141
-0.427246
-0.305176
-0.305176
0.488281
3.112793
-0.976563
-0.671387
0.244141
-1.464844
-0.183105
-2.197266
-2.807617
-2.929688
-2.380371
-1.708984
-1.77002
-2.136231
-1.342774
-1.098633
-1.647949
-1.831055
-1.647949
-3.540039
-3.66211
-4.638672
-4.882813
-5.371094
-3.601074
-2.746582
-2.01416
-0.305176
-6.652832
-4.882813
-1.403809
-0.976563
-1.647949
-0.671387
1.281738
4.272461
11.047364
15.747071
14.892579
13.061524
8.728028
3.417969
4.089356
6.103516
9.521485
6.591797
4.455567
4.699707
2.563477
4.272461
3.417969
5.67627
11.230469
16.906739
18.005372
17.639161
17.761232
9.643555
6.347657
2.380371
-9.521485
-8.300782
-10.131837
-1.159668
-1.403809
-0.915527
-0.793457
-0.12207
0.793457
1.586914
2.319336
3.90625
4.394532
2.319336
1.098633
-0.366211
-0.976563
-2.685547
-5.859375
0.183105
1.525879
3.723145
7.141114
14.709474
23.437501
27.465822
31.127932
36.07178
41.748049
43.701175
39.733889
31.372072
28.381349
46.752933
37.048342
30.456545
29.663088
25.207521
23.559572
23.620607
28.137209
27.832033
24.597169
22.399904
22.94922
26.123048
43.212893
102.416998
223.510756
322.875996
356.75051
378.295922
349.670431
195.983899
32.53174
-62.561039
12.084962
109.741218
183.471691
275.939958
405.822779
496.337921
545.227084
558.89896
